Skills,Roadmap URL
"SQL, R, Python, TensorFlow, PyTorch, Scikit-Learn, Tableau, Power BI, Matplotlib, Data Visualization, Data Wrangling, Data transformation, Cleaning, Cloud computing, Google Cloud, Azure, Amazon, NLP, Time series analysis, Neural networks, Deep learning, Data preparation, Oracle, MySQL, Openshift, AWS, Openstack, GCP",https://roadmap.sh/ai-data-scientist
"SQL, R, Python, NoSQL, Power BI, Matplotlib, Data Visualization, Data Wrangling, Data transformation, Cleaning, MATLAB, Linear Algebra and Calculus, Microsoft Excel, TensorFlow, PyTorch, Scikit-Learn, Machine Learning, Data preparation, Oracle, MySQL, Openshift, Azure, AWS, Openstack, GCP, Cloud computing",https://roadmap.sh/data-analyst
"SQL, Python, NoSQL, AWS, Kafka, Hadoop, Cloud computing, Data Lake, Data Warehouse, ETL, Data Quality, Hive, Azure, Google Cloud, Data modeling, Data ingestion, Apache Kafka, Apache Flume, Apache Storm, Amazon S3, Tibco, Plotly, Tableau, Spotfire, Qlik, Oracle, MySQL, Openshift, Azure, AWS, Openstack, GCP, Apache Spark, Apache Hadoop, Informatica PowerCenter, Apache Airflow, SSIS, AWS Data Pipeline, Azure Data Factory, Google Cloud Dataflow",https://github.com/data-burst/data-engineering-roadmap/blob/main/roadmap.yaml
"Microsoft SQL Server, NoSql, mySql, ASP.NET MVC, ASP.NET Web API,Entity Framework, Azure, Microsoft Azure, C#, C, C++, CSS, HTML, BootStrap, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, .NET core,.Net Framework, AWS, Git, Github, Testing, Blazor, MongoDB, CouchDB, Cassandra, RESTful API, WebSockets, OOP, IIS",https://roadmap.sh/aspnet-core
"Spring Boot, Java, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, Web APIs, Docker, unit testing, microservices, ORM, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, CSS, HTML, BootStrap, Spring Core, Spring Security, MVC, Testing, MongoDB, CouchDB, Cassandra, RESTful API, PS, Problem Solving, OOP, IIS",https://roadmap.sh/spring-boot
"Node.Js, JavaScript, TypeScript, PostgreSQL, MySQL, NoSql, MongoDB, CouchDB, Cassandra, Asynchronous programming, Testing, RESTful API, CI/CD, Git, npm, yarn, Redis, Microservices, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, CSS, HTML, BootStrap, PS, Problem Solving, WebSockets, Cloud computing, Azure, Google Cloud, AWS, OOP, IIS, Express.js",https://roadmap.sh/nodejs
"Django, Python, MVC, WEb API, RESTful API, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, MongoDB, CouchDB, Cassandr, JavaScript, CSS, HTML, BootStrap, Testing, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, Docker, ORM, Git, Github, OOP, IIS",https://github.com/faresemad/Django-Roadmap
"PHP, Laravel, MVC, WEb API, RESTful API, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, MongoDB, CouchDB, Cassandr, JavaScript, CSS, HTML, BootStrap, Testing, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, Docker, Git, Github, OOP, IIS",https://github.com/Hasnayeen/laravel-developer-roadmap
"HTML, CSS, JavaScript, BootStrap, JSX, XML, Git, Node, npm, Redux, DOM, RESTful API, GraphQL, CLI, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, Testing, Tailwind",https://roadmap.sh/react
"npm, HTML, CSS, Angular, TypeScript, RxJS, Git, Github, BootStrap, RESTful APIs, Angular CLI, State Management, Testing, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, JavaScript, APIs, Tailwind",https://roadmap.sh/pdfs/roadmaps/angular.pdf
"Manual Testing, Automated Testing, Selenium, Defect Tracking, Test Case Writing, Test Plan Creation, JIRA, Agile, Agile Methodologies, Python Scripting, CI, CD, Test Execution, Test Automation, Bug Tracking, SQL Queries, Test Planning, Protocol development, Scrum, Trello, TestNG, JUnit, Jenkins, JavaScript, Java, Python, C#, Docker, DevOps, Regression Testing, Acceptance Testing, Performance/Load Testing, Security Testing, SoapUI, Postman, JMeter, Scrum Methodologies, Quality Assurance, GitLab",https://roadmap.sh/qa
"Git, GitHub, Jenkins, Selenium, Testing, Docker, Kubernetes, Puppet, Chef, Ansible, Nagios, Cloud computing, Azure, Google Cloud, AWS, CI, CD, Linux, containers, Java, Javascript, Ruby, Shell, Bash and PHP, Docker Engine, LXC, container registries, Docker Swarm, systemd-nspawn, Docker, C++, Perl, Jenkins, Apache Maven and Apache Ant, encryption, microsegmentation, Network optimization, APIs, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, Vault, Sealed Secrets, SOPS, Netlify, Vercel, Nginx, Tomcat, Apache, IIS, Rut, Node.js, Go, GitLab",https://roadmap.sh/devops
"Java, OOP, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, APIs, RESTful APIs, Android Studio, Android SDK, UI, UX, Git, Github, SQLite, MS SQL SErver, NoSql, mySql, MVC, MVP, MVVM, Testing, Unit Testing, XML, play store, JSON, CI, CD, Azure, GitLab, Rest, GraphQL, Agile, Waterfall, Provider, Bloc, Redux, Caching",https://roadmap.sh/android
"Kotlin, OOP, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, APIs, RESTful APIs, Android Studio, Android SDK, UI, UX, Git, Github, SQLite, MS SQL SErver, NoSql, mySql, MVC, MVP, MVVM, Testing, Unit Testing, XML, play store, JSON, CI, CD, Azure, GitLab, Rest, GraphQL, Agile, Waterfall, Provider, Bloc, Redux, Caching",https://roadmap.sh/android
"Objective-C, OOP, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, Xcode, Cocoa Touch, UIKit, UI, UX, JSON, XML, ARC, GCD, Core Data, unit testing, Testing, Git, Github, CI, CD, Spatial Reasoning, UI Kit, Reactive Programming, Azure, GitLab, Rest, GraphQL, Core OS, Agile, Waterfall, Caching, Apple Store, RESTful APIs, MS SQL Server, NoSql, MySQL, SQLite",https://roadmap.sh/ios
"Swift, OOP, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, Xcode, Cocoa Touch, UIKit, UI, UX, JSON, XML, ARC, GCD, Core Data, unit testing, Testing, Git, Github, CI, CD, Spatial Reasoning, UI Kit, Reactive Programming, Azure, GitLab, Swift UI, Rest, GraphQL, Core OS, Agile, Waterfall, Caching, Apple Store, RESTful APIs, MS SQL Server, NoSql, MySQL, SQLite",https://roadmap.sh/ios
"Dart, Java, Kotlin, SQLite, HTML, JavaScript, CSS3, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, AWS, SQLite, MySQL, Firebase, PHP, SQL, NoSQL, GraphQL, RESTful API, Android Studio, Flutter, Dartpad, Visual Studio, CodePen, Git, GitHub, Bootstrap, SEO, Optimization, Android, iOS, Web Development, Web Design, Bloc, Provider, Redux, MobX, CI, CD, Apple, Google, Laval, Visual Studio Code, DevOps, Vercel, Agile, Project Management, Quality Assurance",https://roadmap.sh/flutter
"HTML, CSS, JavaScript, React Native, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, Testing, Unit Testing, APIs, RESTful APIs, UI, UX, CI, CD, Git, Github, Redux, Jest, React, Xcode and Android Studio, Components, State, Props, JSX, Objective-C, Swift, Reactive Programming, Xcode, Cocoa Touch, UIKit, Enzyme, Hockeyapp, Bitrise, MS SQL Server, NoSql, mySql, SQLite",https://roadmap.sh/react-native
"C#, ASP.Net, Xamarin Native, Xamarin Forms, XAML, Data Structures and Algorithms, Design Patterns, SOLID Principles, PS, Problem Solving, Testing, Unit Testing, APIs, RESTful APIs, UI, SQLite",https://github.com/Stayrony/Xamarin-Developer-Roadmap/blob/master/xamarin-developer-roadmap.png
"Microsoft SQL Server, NoSql, mySql, ASP.NET MVC, ASP.NET Web API, Entity Framework, Azure, Microsoft Azure, C#, C, C++, CSS, HTML, BootStrap, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, .NET core, AWS, Git, Github, Testing, Blazor, MongoDB, CouchDB, Cassandra, RESTful API, WebSockets, OOP, IIS, Node, npm, Redux, DOM, Tailwind",https://roadmap.sh/full-stack
"Spring Boot, Java, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, Web APIs, Docker, unit testing, microservices, ORM, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, CSS, HTML, BootStrap, Spring Core, Spring Security, MVC, Testing, MongoDB, CouchDB, Cassandra, RESTful API, PS, Problem Solving, OOP, IIS, Node, npm, Redux, DOM, Tailwind",https://roadmap.sh/full-stack
"Node.Js, JavaScript, TypeScript, PostgreSQL, MySQL, NoSql, MongoDB, CouchDB, Cassandra, Asynchronous programming, Testing, RESTful API, CI/CD, Git, npm, yarn, Redis, Microservices, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, CSS, HTML, BootStrap, PS, Problem Solving, Microservices, WebSockets, Cloud computing, Azure, Google Cloud, AWS, OOP, IIS, Node, npm, Redux, DOM, Tailwind",https://roadmap.sh/full-stack
"Django, Python, MVC, WEb API, RESTful API, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, MongoDB, CouchDB, Cassandra, JavaScript, CSS, HTML, BootStrap, Testing, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, Docker, ORM, Git, Github, OOP, IIS, Node, npm, Redux, DOM, Tailwind",https://roadmap.sh/full-stack
"Microsoft SQL Server, NoSql, mySql, ASP.NET MVC, ASP.NET Web API, Entity Framework, Azure, Microsoft Azure, C#, C, C++, CSS, HTML, BootStrap, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, .NET core, AWS, Git, Github, Testing, Blazor, MongoDB, CouchDB, Cassandra, RESTful API, WebSockets, OOP, IIS, Angular, TypeScript, RxJS, Angular CLI, State Management",https://roadmap.sh/full-stack
"Spring Boot, Java, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, Web APIs, Docker, unit testing, microservices, ORM, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, CSS, HTML, BootStrap, Spring Core, Spring Security, MVC, Testing, MongoDB, CouchDB, Cassandra, RESTful API, PS, Problem Solving, OOP, IIS, Angular, TypeScript, RxJS, Angular CLI, State Management",https://roadmap.sh/full-stack
"Node.Js, JavaScript, TypeScript, PostgreSQL, MySQL, NoSql, MongoDB, CouchDB, Cassandra, Asynchronous programming, Testing, RESTful API, CI/CD, Git, npm, yarn, Redis, Microservices, Data Structures and Algorithms, Design Patterns, SOLID Principles, JavaScript, CSS, HTML, BootStrap, PS, Problem Solving, Microservices, WebSockets, Cloud computing, Azure, Google Cloud, AWS, OOP, IIS, TypeScript, RxJS, Angular CLI, State Management",https://roadmap.sh/full-stack
"Django, Python, MVC, WEb API, RESTful API, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, MongoDB, CouchDB, Cassandra, JavaScript, CSS, HTML, BootStrap, Testing, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, Docker, ORM, Git, Github, OOP, IIS, TypeScript, RxJS, Angular CLI, State Management",https://roadmap.sh/full-stack
"Laravel, PHP, MVC, WEb API, RESTful API, Microsoft SQL Server, NoSql, MySQL, Cloud computing, Azure, Google Cloud, AWS, MongoDB, CouchDB, Cassandra, JavaScript, CSS, HTML, BootStrap, Testing, PS, Problem Solving, Data Structures and Algorithms, Design Patterns, SOLID Principles, Docker, ORM, Git, Github, OOP, IIS, Node, npm, Redux, DOM, Tailwind",https://roadmap.sh/full-stack
